+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------+--------+----------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------+--------+----------------------------------------------+
| Mod name                            | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                              | Exists | Ore Dict keys                                |
+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------+--------+----------------------------------------------+
| Actually Additions                  | actuallyadditions:block_atomic_reconstructor                 |     267 |    false |    4156 |         0 | Atomic Reconstructor                      | true   |                                              |
| Actually Additions                  | actuallyadditions:block_battery_box                          |     254 |    false |    4144 |         0 | Battery Box                               | true   |                                              |
| Actually Additions                  | actuallyadditions:block_bio_reactor                          |     258 |    false |    4147 |         0 | Bio Reactor                               | true   |                                              |
| Actually Additions                  | actuallyadditions:block_black_lotus                          |     270 |    false |    4159 |         0 | Black Lotus                               | true   |                                              |
| Actually Additions                  | actuallyadditions:block_breaker                              |     327 |    false |    4216 |         0 | Auto-Breaker                              | true   |                                              |
| Actually Additions                  | actuallyadditions:block_canola                               |     308 |    false |    4197 |         0 | Canola Plant                              | true   |                                              |
| Actually Additions                  | actuallyadditions:block_canola_oil                           |     344 |    false |    4233 |         0 | Canola Oil                                | true   |                                              |
| Actually Additions                  | actuallyadditions:block_canola_press                         |     297 |    false |    4186 |         0 | Canola Press                              | true   |                                              |
| Actually Additions                  | actuallyadditions:block_chiseled_quartz_slab                 |     342 |    false |    4231 |         0 | Chiseled Black Quartz Slab                | true   |                                              |
| Actually Additions                  | actuallyadditions:block_chiseled_quartz_stair                |     339 |    false |    4228 |         0 | Chiseled Black Quartz Stairs              | true   |                                              |
| Actually Additions                  | actuallyadditions:block_chiseled_quartz_wall                 |     336 |    false |    4225 |         0 | Chiseled Black Quartz Wall                | true   |                                              |
| Actually Additions                  | actuallyadditions:block_coal_generator                       |     304 |    false |    4193 |         0 | Coal Generator                            | true   |                                              |
| Actually Additions                  | actuallyadditions:block_coffee                               |     310 |    false |    4199 |         0 | Coffee Plant                              | true   |                                              |
| Actually Additions                  | actuallyadditions:block_coffee_machine                       |     332 |    false |    4221 |         0 | Coffee Maker                              | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         0 | White Lamp                                | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         1 | Orange Lamp                               | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |        10 | Purple Lamp                               | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |        11 | Blue Lamp                                 | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |        12 | Brown Lamp                                | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |        13 | Green Lamp                                | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |        14 | Red Lamp                                  | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |        15 | Black Lamp                                | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         2 | Magenta Lamp                              | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         3 | Light Blue Lamp                           | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         4 | Yellow Lamp                               | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         5 | Lime Lamp                                 | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         6 | Pink Lamp                                 | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         7 | Gray Lamp                                 | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         8 | Light Gray Lamp                           | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp                         |     290 |     true |    4179 |         9 | Cyan Lamp                                 | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp_on                      |     291 |     true |    4180 |         0 | White Lamp (On)                           | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp_on                      |     291 |     true |    4180 |         1 | Orange Lamp (On)                          | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp_on                      |     291 |     true |    4180 |        10 | Purple Lamp (On)                          | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp_on                      |     291 |     true |    4180 |        11 | Blue Lamp (On)                            | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp_on                      |     291 |     true |    4180 |        12 | Brown Lamp (On)                           | true   |                                              |
| Actually Additions                  | actuallyadditions:block_colored_lamp_on                      |     291 |     true |    4180 |        13 | Green Lamp (On)                           | true   |                                              |
